024.4213 | +33.1589 | ~ | ~ | ~ | ~ | 16.60 |  |  |  |  |  3C48 4C32.08
049.9506671 | +41.5116953 | ~ | ~ | ~ | ~ | 13.08 | 12.48 |  |  |  |  3C84 4C41.07
069.2682304 | +29.6705053 | ~ | ~ | ~ | ~ | 21.7 |  |  |  |  |  3C123 
085.6505746 | +49.8520094 | ~ | ~ | ~ | ~ | 18.45 | 17.80 |  |  |  |  3C147 
088.8783567 | +39.8136569 | ~ | ~ | ~ | ~ |  | 18.0 |  |  |  |  0555+398  QSO B0552+398
096.79207 | -05.88466 | ~ | ~ | ~ | ~ |  |  |  |  |  |  3C161 4C-05.23
141.7625579 | +39.0391256 | ~ | ~ | ~ | ~ | 17.92 | 17.86 |  |  |  |  0927+390 4C39.25
202.784562 | +30.509150 | ~ | ~ | ~ | ~ | 17.51 | 17.25 |  |  |  |  3C286
212.83603 | +52.20254 | ~ | ~ | ~ | ~ | 20.1 | 19.76 |  |  |  |  3C295 4C52.30
250.74504 | +39.81028 | ~ | ~ | ~ | ~ | 16.25 |  |  |  |  |  3C345 4C39.48
263.2612742 | -13.0804300 | ~ | ~ | ~ | ~ | 18 | 18.5 |  |  |  |  1733-130 QSO B1730-1302
277.382421 | +48.746156 | ~ | ~ | ~ | ~ | 17.05 | 16.81 |  |  |  |  3C380 6C 182813+484244
343.4906162 | +16.1482114 | ~ | ~ | ~ | ~ | 16.57 |  |  |  |  |  3C454.3 2253+161 4C15.76
