# $Id: gal-survey-grid-coords.csv,v 1.1 2007/12/19 23:15:03 kilsdonk Exp $
# Galactic Survey grid.
# Prepared by P. Backus
# Freq 1720 MHz
# Grid Spacing arcmin degrees
# Long          7.77  0.129523
# Lat           2.62  0.043690
# dl/db         0.90  0.015
#
# GalLong(deg),GalLat(deg),RA(J2000-hours),Dec(J2000-deg)
#
-5.051397,0.000000,17.550782,-33.211223
-4.921874,0.000000,17.556400,-33.102599
-4.792351,0.000000,17.562004,-32.993918
-4.662828,0.000000,17.567594,-32.885180
-4.533305,0.000000,17.573170,-32.776387
-4.403782,0.000000,17.578733,-32.667538
-4.274259,0.000000,17.584283,-32.558635
-4.144736,0.000000,17.589819,-32.449676
-4.015213,0.000000,17.595341,-32.340664
-3.885690,0.000000,17.600850,-32.231597
-3.756167,0.000000,17.606346,-32.122476
-3.626644,0.000000,17.611829,-32.013303
-3.497121,0.000000,17.617299,-31.904076
-3.367598,0.000000,17.622756,-31.794797
-3.238075,0.000000,17.628200,-31.685465
-3.108552,0.000000,17.633631,-31.576082
-2.979029,0.000000,17.639049,-31.466647
-2.849506,0.000000,17.644455,-31.357161
-2.719983,0.000000,17.649848,-31.247624
-2.590460,0.000000,17.655229,-31.138036
-2.460937,0.000000,17.660597,-31.028399
-2.331414,0.000000,17.665953,-30.918711
-2.201891,0.000000,17.671297,-30.808974
-2.072368,0.000000,17.676628,-30.699188
-1.942845,0.000000,17.681948,-30.589352
-1.813322,0.000000,17.687255,-30.479468
-1.683799,0.000000,17.692550,-30.369536
-1.554276,0.000000,17.697834,-30.259556
-1.424753,0.000000,17.703105,-30.149529
-1.295230,0.000000,17.708365,-30.039454
-1.165707,0.000000,17.713613,-29.929332
-1.036184,0.000000,17.718850,-29.819163
-0.906661,0.000000,17.724075,-29.708949
-0.777138,0.000000,17.729288,-29.598688
-0.647615,0.000000,17.734491,-29.488381
-0.518092,0.000000,17.739681,-29.378029
-0.388569,0.000000,17.744861,-29.267632
-0.259046,0.000000,17.750029,-29.157190
-0.129523,0.000000,17.755187,-29.046703
0.000000,0.000000,17.760333,-28.936172
0.129523,0.000000,17.765468,-28.825597
0.259046,0.000000,17.770593,-28.714979
0.388569,0.000000,17.775706,-28.604317
0.518092,0.000000,17.780809,-28.493612
0.647615,0.000000,17.785901,-28.382864
0.777138,0.000000,17.790983,-28.272074
0.906661,0.000000,17.796054,-28.161242
1.036184,0.000000,17.801114,-28.050367
1.165707,0.000000,17.806164,-27.939452
1.295230,0.000000,17.811204,-27.828494
1.424753,0.000000,17.816233,-27.717496
1.554276,0.000000,17.821253,-27.606456
1.683799,0.000000,17.826262,-27.495377
1.813322,0.000000,17.831260,-27.384257
1.942845,0.000000,17.836249,-27.273097
2.072368,0.000000,17.841228,-27.161897
2.201891,0.000000,17.846197,-27.050658
2.331414,0.000000,17.851156,-26.939379
2.460937,0.000000,17.856106,-26.828062
2.590460,0.000000,17.861045,-26.716706
2.719983,0.000000,17.865975,-26.605311
2.849506,0.000000,17.870896,-26.493879
2.979029,0.000000,17.875806,-26.382408
3.108552,0.000000,17.880708,-26.270900
3.238075,0.000000,17.885600,-26.159355
3.367598,0.000000,17.890482,-26.047772
3.497121,0.000000,17.895356,-25.936153
3.626644,0.000000,17.900220,-25.824497
3.756167,0.000000,17.905075,-25.712804
3.885690,0.000000,17.909921,-25.601076
4.015213,0.000000,17.914757,-25.489311
4.144736,0.000000,17.919585,-25.377511
4.274259,0.000000,17.924404,-25.265676
4.403782,0.000000,17.929214,-25.153805
4.533305,0.000000,17.934015,-25.041900
4.662828,0.000000,17.938808,-24.929960
4.792351,0.000000,17.943591,-24.817985
4.921874,0.000000,17.948366,-24.705977
5.051397,0.000000,17.953133,-24.593934
-5.036397,0.043690,17.548515,-33.174831
-4.906874,0.043690,17.554134,-33.066229
-4.777351,0.043690,17.559738,-32.957571
-4.647828,0.043690,17.565329,-32.848856
-4.518305,0.043690,17.570906,-32.740086
-4.388782,0.043690,17.576469,-32.631260
-4.259259,0.043690,17.582019,-32.522378
-4.129736,0.043690,17.587555,-32.413442
-4.000213,0.043690,17.593079,-32.304452
-3.870690,0.043690,17.598588,-32.195407
-3.741167,0.043690,17.604085,-32.086309
-3.611644,0.043690,17.609568,-31.977157
-3.482121,0.043690,17.615039,-31.867952
-3.352598,0.043690,17.620496,-31.758695
-3.223075,0.043690,17.625940,-31.649385
-3.093552,0.043690,17.631372,-31.540023
-2.964029,0.043690,17.636791,-31.430609
-2.834506,0.043690,17.642197,-31.321145
-2.704983,0.043690,17.647591,-31.211629
-2.575460,0.043690,17.652972,-31.102063
-2.445937,0.043690,17.658341,-30.992446
-2.316414,0.043690,17.663698,-30.882779
-2.186891,0.043690,17.669042,-30.773063
-2.057368,0.043690,17.674374,-30.663297
