# Galactic Survey extended grid (glong +5 to +7)
# Prepared by P. Backus
# Freq 1720 MHz
# Grid Spacing arcmin degrees
# Long          7.77  0.129523
# Lat           2.62  0.043690
# dl/db         0.90  0.015
#
# GalLong(deg),GalLat(deg)
#
5.180920,0.000000
5.310443,0.000000
5.439966,0.000000
5.569489,0.000000
5.699012,0.000000
5.828535,0.000000
5.958058,0.000000
6.087581,0.000000
6.217104,0.000000
6.346627,0.000000
6.476150,0.000000
6.605673,0.000000
6.735196,0.000000
6.864719,0.000000
6.994242,0.000000
5.066397,0.043690
5.195920,0.043690
5.325443,0.043690
5.454966,0.043690
5.584489,0.043690
5.714012,0.043690
5.843535,0.043690
5.973058,0.043690
6.102581,0.043690
6.232104,0.043690
6.361627,0.043690
6.491150,0.043690
6.620673,0.043690
6.750196,0.043690
6.879719,0.043690
7.009242,0.043690
5.165920,-0.043690
5.295443,-0.043690
5.424966,-0.043690
5.554489,-0.043690
5.684012,-0.043690
5.813535,-0.043690
5.943058,-0.043690
6.072581,-0.043690
6.202104,-0.043690
6.331627,-0.043690
6.461150,-0.043690
6.590673,-0.043690
6.720196,-0.043690
6.849719,-0.043690
6.979242,-0.043690
5.081397,0.087380
5.210920,0.087380
5.340443,0.087380
5.469966,0.087380
5.599489,0.087380
5.729012,0.087380
5.858535,0.087380
5.988058,0.087380
6.117581,0.087380
6.247104,0.087380
6.376627,0.087380
6.506150,0.087380
6.635673,0.087380
6.765196,0.087380
6.894719,0.087380
7.024242,0.087380
5.150920,-0.087380
5.280443,-0.087380
5.409966,-0.087380
5.539489,-0.087380
5.669012,-0.087380
5.798535,-0.087380
5.928058,-0.087380
6.057581,-0.087380
6.187104,-0.087380
6.316627,-0.087380
6.446150,-0.087380
6.575673,-0.087380
6.705196,-0.087380
6.834719,-0.087380
6.964242,-0.087380
5.096397,0.131070
5.225920,0.131070
5.355443,0.131070
5.484966,0.131070
5.614489,0.131070
5.744012,0.131070
5.873535,0.131070
6.003058,0.131070
6.132581,0.131070
6.262104,0.131070
6.391627,0.131070
6.521150,0.131070
6.650673,0.131070
6.780196,0.131070
6.909719,0.131070
7.039242,0.131070
5.135920,-0.131070
5.265443,-0.131070
5.394966,-0.131070
5.524489,-0.131070
5.654012,-0.131070
5.783535,-0.131070
5.913058,-0.131070
6.042581,-0.131070
6.172104,-0.131070
6.301627,-0.131070
6.431150,-0.131070
6.560673,-0.131070
6.690196,-0.131070
6.819719,-0.131070
6.949242,-0.131070
5.111397,0.174760
5.240920,0.174760
5.370443,0.174760
5.499966,0.174760
5.629489,0.174760
5.759012,0.174760
5.888535,0.174760
6.018058,0.174760
6.147581,0.174760
6.277104,0.174760
6.406627,0.174760
6.536150,0.174760
6.665673,0.174760
6.795196,0.174760
6.924719,0.174760
7.054242,0.174760
5.120920,-0.174760
5.250443,-0.174760
5.379966,-0.174760
5.509489,-0.174760
5.639012,-0.174760
5.768535,-0.174760
5.898058,-0.174760
6.027581,-0.174760
6.157104,-0.174760
6.286627,-0.174760
6.416150,-0.174760
6.545673,-0.174760
6.675196,-0.174760
6.804719,-0.174760
6.934242,-0.174760
7.063765,-0.174760
5.126397,0.218450
5.255920,0.218450
5.385443,0.218450
5.514966,0.218450
5.644489,0.218450
5.774012,0.218450
5.903535,0.218450
6.033058,0.218450
6.162581,0.218450
6.292104,0.218450
6.421627,0.218450
6.551150,0.218450
6.680673,0.218450
6.810196,0.218450
6.939719,0.218450
5.105920,-0.218450
5.235443,-0.218450
5.364966,-0.218450
5.494489,-0.218450
5.624012,-0.218450
5.753535,-0.218450
5.883058,-0.218450
6.012581,-0.218450
6.142104,-0.218450
6.271627,-0.218450
6.401150,-0.218450
6.530673,-0.218450
6.660196,-0.218450
6.789719,-0.218450
6.919242,-0.218450
5.141397,0.262140
5.270920,0.262140
5.400443,0.262140
5.529966,0.262140
5.659489,0.262140
5.789012,0.262140
5.918535,0.262140
6.048058,0.262140
6.177581,0.262140
6.307104,0.262140
6.436627,0.262140
6.566150,0.262140
6.695673,0.262140
6.825196,0.262140
6.954719,0.262140
5.090920,-0.262140
5.220443,-0.262140
5.349966,-0.262140
5.479489,-0.262140
5.609012,-0.262140
5.738535,-0.262140
5.868058,-0.262140
5.997581,-0.262140
6.127104,-0.262140
6.256627,-0.262140
6.386150,-0.262140
6.515673,-0.262140
6.645196,-0.262140
6.774719,-0.262140
6.904242,-0.262140
7.033765,-0.262140
5.156397,0.305830
5.285920,0.305830
5.415443,0.305830
5.544966,0.305830
5.674489,0.305830
5.804012,0.305830
5.933535,0.305830
6.063058,0.305830
6.192581,0.305830
6.322104,0.305830
6.451627,0.305830
6.581150,0.305830
